Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
301;15564;"Journal of Language and Social Psychology";journal;"15526526, 0261927X";0,591;Q1;56;47;111;2884;232;110;2,05;61,36;United States;Northern America;"SAGE Publications Inc.";"1982-2021";"Anthropology (Q1); Linguistics and Language (Q1); Sociology and Political Science (Q1); Education (Q2); Social Psychology (Q2)"
302;28910;"Leisure Sciences";journal;"15210588, 01490400";0,590;Q1;71;120;193;5425;536;186;2,68;45,21;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1977-2021";"Sociology and Political Science (Q1); Environmental Science (miscellaneous) (Q2); Tourism, Leisure and Hospitality Management (Q2)"
303;21100897232;"REICE. Revista Iberoamericana Sobre Calidad, Eficacia y Cambio en Educacion";journal;"16964713";0,590;Q1;8;31;88;1601;156;88;1,93;51,65;Spain;Western Europe;"Universidad Autonoma de Madrid";"2018-2021";"Cultural Studies (Q1); Sociology and Political Science (Q1); Education (Q2)"
304;29831;"International Journal of Social Welfare";journal;"14682397, 13696866";0,589;Q1;50;48;112;2571;207;100;1,75;53,56;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2021";"Sociology and Political Science (Q1); Social Work (Q2)"
305;21100463803;"Regional Studies, Regional Science";journal;"21681376";0,589;Q1;22;39;128;1306;275;126;2,12;33,49;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2021";"Sociology and Political Science (Q1); Economics and Econometrics (Q2); Geography, Planning and Development (Q2)"
306;21100887502;"Journal of Open Innovation: Technology, Market, and Complexity";journal;"21998531";0,588;Q1;28;242;362;18586;1579;361;4,36;76,80;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2015-2021";"Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q1); Development (Q2)"
307;21100805792;"Studies in Indian Politics";journal;"23210230, 23217472";0,585;Q1;8;24;67;682;51;56;0,95;28,42;United Kingdom;Western Europe;"SAGE Publications Inc.";"2014-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
308;24359;"Women's Studies International Forum";journal;"02775395";0,579;Q1;63;63;254;3667;567;250;1,78;58,21;United Kingdom;Western Europe;"Elsevier Ltd.";"1982-2021";"Law (Q1); Sociology and Political Science (Q1); Development (Q2); Education (Q2)"
309;20318;"Journal of Modern African Studies";journal;"14697777, 0022278X";0,577;Q1;60;24;78;1570;108;75;1,12;65,42;United Kingdom;Western Europe;"Cambridge University Press";"1963-2021";"Sociology and Political Science (Q1); Geography, Planning and Development (Q2)"
310;4700152864;"Journal of Public Child Welfare";journal;"15548732, 15548740";0,575;Q1;24;59;92;3036;161;89;1,71;51,46;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2021";"Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2)"
311;4400151519;"Journal of Women, Politics and Policy";journal;"1554477X";0,573;Q1;32;26;76;1531;127;69;1,00;58,88;United States;Northern America;"Routledge";"2005, 2007-2021";"Gender Studies (Q1); Sociology and Political Science (Q1)"
312;5700162125;"Action Research";journal;"14767503";0,566;Q1;39;48;105;1788;194;92;2,00;37,25;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2021";"Sociology and Political Science (Q1); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)"
313;21101021456;"Revista de Pensamiento Estrategico y Seguridad CISDE";journal;"25298763";0,562;Q1;4;7;12;305;20;11;1,67;43,57;Spain;Western Europe;"United Academic Journals (UA Journals)";"2020-2021";"History (Q1); Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1); Safety Research (Q2)"
314;20324;"Journal of educational administration and history";journal;"14787431, 00220620";0,559;Q1;21;38;99;1856;130;81;1,21;48,84;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1968-2000, 2010-2021";"Sociology and Political Science (Q1); Education (Q2)"
315;19600163400;"Social Work";journal;"15456846, 00378046";0,558;Q1;75;48;141;0;291;111;2,13;0,00;United States;Northern America;"Oxford University Press";"1956-2021";"Sociology and Political Science (Q1); Medicine (miscellaneous) (Q2); Social Work (Q2)"
316;21100870605;"European Journal of Cultural and Political Sociology";journal;"23254815, 23254823";0,554;Q1;12;26;61;1174;86;49;0,73;45,15;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2021";"Cultural Studies (Q1); Sociology and Political Science (Q1)"
317;21100403126;"European Politics and Society";journal;"23745126, 23745118";0,554;Q1;27;88;121;5083;237;118;2,08;57,76;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
318;18299;"American Journal of Economics and Sociology";journal;"00029246, 15367150";0,550;Q1;41;64;122;2357;165;106;1,11;36,83;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1941-1966, 1968-1976, 1978-2021";"Sociology and Political Science (Q1); Economics and Econometrics (Q2)"
319;21100258637;"Administratie si Management Public";journal;"15839583";0,549;Q1;17;21;62;991;228;62;4,45;47,19;Romania;Eastern Europe;"Academy of Economic Studies from Bucharest";"2013-2021";"Sociology and Political Science (Q1); Public Administration (Q2)"
320;21100901140;"Journal of Innovation and Entrepreneurship";journal;"21925372";0,548;Q1;19;47;57;2940;207;55;4,02;62,55;Germany;Western Europe;"SpringerOpen";"2014-2015, 2017-2021";"Sociology and Political Science (Q1); Economics and Econometrics (Q2); Information Systems (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2)"
321;23421;"Political Theory";journal;"00905917, 15527476";0,548;Q1;61;51;103;701;129;93;1,00;13,75;United States;Northern America;"SAGE Publications Inc.";"1973-2021";"History (Q1); Sociology and Political Science (Q1)"
322;21100427853;"Politics and Governance";journal;"21832463";0,548;Q1;23;153;300;7504;730;269;1,95;49,05;Portugal;Western Europe;"Cogitatio Press";"2013-2021";"Sociology and Political Science (Q1); Public Administration (Q2)"
323;5700160451;"Politics and Religion";journal;"17550483";0,547;Q1;20;41;97;2382;148;92;1,38;58,10;United Kingdom;Western Europe;"Cambridge University Press";"2008-2021";"Religious Studies (Q1); Sociology and Political Science (Q1)"
324;130173;"Community, Work and Family";journal;"14693615, 13668803";0,546;Q1;44;62;124;3274;290;113;2,27;52,81;United Kingdom;Western Europe;"Routledge";"2003-2021";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Development (Q2)"
325;15060;"Africa Spectrum";journal;"00020397";0,542;Q1;23;19;49;1096;78;45;1,59;57,68;Germany;Western Europe;"Institut fur Afrika-Kunde";"1983-1984, 2006-2021";"Cultural Studies (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1); Development (Q2)"
326;19900190213;"Journal of Current Southeast Asian Affairs";journal;"18684882, 18681034";0,541;Q1;12;22;55;1224;94;50;1,60;55,64;Germany;Western Europe;"SAGE Publications Ltd";"2015-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
327;21100464772;"Network Science";journal;"20501250, 20501242";0,541;Q1;19;32;85;1657;148;83;1,79;51,78;United Kingdom;Western Europe;"Cambridge University Press";"2013-2021";"Sociology and Political Science (Q1); Communication (Q2); Social Psychology (Q2)"
328;21100780469;"World Development Perspectives";journal;"24522929";0,538;Q2;14;69;113;3199;254;113;2,31;46,36;United Kingdom;Western Europe;"Elsevier Ltd.";"2016-2021";"Development (Q2); Economics and Econometrics (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
329;21100836179;"Asia and the Pacific Policy Studies";journal;"20502680";0,535;Q2;19;25;93;1159;224;92;2,45;46,36;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2014-2021";"Economics, Econometrics and Finance (miscellaneous) (Q1); Political Science and International Relations (Q1); Public Administration (Q2); Sociology and Political Science (Q2); Strategy and Management (Q2)"
330;5600152909;"Capital and Class";journal;"03098168";0,535;Q2;37;44;87;2949;162;85;2,05;67,02;United States;Northern America;"SAGE Publications Inc.";"1977-2021";"History (Q1); Economics and Econometrics (Q2); Sociology and Political Science (Q2)"
331;12100155921;"Social Policy and Society";journal;"14753073, 14747464";0,534;Q2;26;91;140;4706;316;138;2,15;51,71;United Kingdom;Western Europe;"Cambridge University Press";"2011, 2013-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q2)"
332;24606;"Anthrozoos";journal;"08927936";0,532;Q2;56;75;148;3921;383;148;2,63;52,28;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990, 1992-1993, 1996-2021";"Anthropology (Q1); Veterinary (miscellaneous) (Q1); Animal Science and Zoology (Q2); Education (Q2); Sociology and Political Science (Q2)"
333;19900191744;"Equality, Diversity and Inclusion";journal;"17587093, 20407149";0,532;Q2;29;78;182;4960;400;176;2,36;63,59;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2010-2021";"Cultural Studies (Q1); Gender Studies (Q2); Organizational Behavior and Human Resource Management (Q2); Sociology and Political Science (Q2)"
334;5600157642;"Public Policy and Administration";journal;"09520767, 17494192";0,532;Q2;40;2;73;186;180;61;2,39;93,00;United Kingdom;Western Europe;"SAGE Publications Ltd";"1986-2020";"Public Administration (Q2); Sociology and Political Science (Q2)"
335;20841;"Health and Human Rights";journal;"10790969, 21504113";0,530;Q2;34;47;184;2065;297;167;1,51;43,94;United States;Northern America;"Harvard School of Public Health";"1994-2001, 2003-2004, 2006, 2008-2021";"Political Science and International Relations (Q1); Health (social science) (Q2); Sociology and Political Science (Q2)"
336;15498;"International Journal of Sociology and Social Policy";journal;"0144333X, 17586720";0,530;Q2;42;91;269;5240;686;267;2,80;57,58;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1981-2021";"Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q2)"
337;22222;"Parliamentary Affairs";journal;"14602482, 00312290";0,527;Q2;47;39;179;1566;304;178;1,33;40,15;United Kingdom;Western Europe;"Oxford University Press";"1947-2021";"Law (Q1); Sociology and Political Science (Q2)"
338;27760;"New Left Review";journal;"00286060";0,522;Q2;71;0;50;0;83;46;2,00;0,00;United Kingdom;Western Europe;"New Left Review Subscriptions";"1984, 1987, 1996-2019";"Political Science and International Relations (Q1); Sociology and Political Science (Q2)"
339;21100898050;"Social Enterprise Journal";journal;"17508533, 17508614";0,522;Q2;11;36;81;2768;230;78;2,77;76,89;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012, 2018-2021";"Economics, Econometrics and Finance (miscellaneous) (Q1); Business, Management and Accounting (miscellaneous) (Q2); Development (Q2); Management, Monitoring, Policy and Law (Q2); Sociology and Political Science (Q2)"
340;21100854808;"Journal of the Society for Social Work and Research";journal;"1948822X, 23342315";0,518;Q2;19;38;97;2076;176;95;1,44;54,63;United States;Northern America;"University of Chicago Press";"2014-2021";"Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)"
341;21100850750;"European Journal of Futures Research";journal;"21952248, 21954194";0,513;Q2;18;17;37;1447;90;36;3,13;85,12;Germany;Western Europe;"Springer Verlag";"2013-2021";"Economics, Econometrics and Finance (miscellaneous) (Q1); Management of Technology and Innovation (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Tourism, Leisure and Hospitality Management (Q3)"
342;18675;"Teaching Sociology";journal;"0092055X";0,512;Q2;39;35;79;1351;146;68;1,89;38,60;United States;Northern America;"SAGE Publications Inc.";"1986, 1990, 1996-2021";"Education (Q2); Sociology and Political Science (Q2)"
343;27731;"Latin American Perspectives";journal;"0094582X, 1552678X";0,510;Q2;41;91;237;3850;252;207;1,20;42,31;United Kingdom;Western Europe;"SAGE Publications Ltd";"1977, 1984, 1986-2021";"Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
344;17504;"Social and Legal Studies";journal;"09646639, 14617390";0,509;Q2;44;49;111;3441;192;110;1,67;70,22;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2021";"Law (Q1); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)"
345;19900192164;"Journal of Political Power";journal;"21583803, 2158379X";0,508;Q2;24;29;73;1563;92;63;1,14;53,90;United Kingdom;Western Europe;"Routledge";"2008-2021";"Sociology and Political Science (Q2)"
346;26623;"Alternatives";journal;"21633150, 03043754";0,507;Q2;42;8;32;376;45;31;1,63;47,00;United States;Northern America;"SAGE Publications Inc.";"1975-2021";"Political Science and International Relations (Q1); Sociology and Political Science (Q2)"
347;145332;"Identity";journal;"15283488, 1532706X";0,507;Q2;33;36;68;2023;145;67;1,67;56,19;United Kingdom;Western Europe;"Psychology Press Ltd";"2005-2021";"Anthropology (Q1); Psychology (miscellaneous) (Q2); Sociology and Political Science (Q2)"
348;5600153131;"Social Analysis";journal;"0155977X";0,506;Q2;29;27;89;1060;87;80;0,92;39,26;United States;Northern America;"Berghahn Journals";"2002-2021";"Anthropology (Q1); Cultural Studies (Q1); Arts and Humanities (miscellaneous) (Q2); Sociology and Political Science (Q2)"
349;5800154205;"International Journal of Comparative and Applied Criminal Justice";journal;"21576475, 01924036";0,505;Q2;14;50;76;3033;125;71;1,79;60,66;United States;Northern America;"Routledge";"1977-1995, 2014-2021";"Law (Q1); Social Psychology (Q2); Sociology and Political Science (Q2)"
350;16562;"Armed Forces and Society";journal;"15560848, 0095327X";0,498;Q2;43;68;114;4196;214;108;1,46;61,71;United States;Northern America;"SAGE Publications Inc.";"1974-2021";"Safety Research (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)"
351;21100890928;"Journal of Ethnic and Cultural Studies";journal;"21491291";0,498;Q2;9;61;94;4102;249;93;3,12;67,25;United States;Northern America;"Florida Gulf Coast University";"2018-2021";"Cultural Studies (Q1); Sociology and Political Science (Q2)"
352;15800154711;"Research in Accounting Regulation";journal;"10520457";0,498;Q2;20;0;21;0;25;20;0,00;0,00;Netherlands;Western Europe;"Elsevier BV";"2003-2005, 2007-2018";"Accounting (Q2); Finance (Q2); Sociology and Political Science (Q2)"
353;20727;"Europe-Asia Studies";journal;"09668136, 14653427";0,494;Q2;60;97;216;6352;384;205;1,47;65,48;United Kingdom;Western Europe;"Routledge";"1993-2021";"History (Q1); Economics and Econometrics (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
354;21100235819;"Verbum et Ecclesia";journal;"20747705, 16099982";0,494;Q2;10;90;154;3760;104;153;0,65;41,78;South Africa;Africa;"AOSIS (Pty) Ltd";"2013-2021";"Religious Studies (Q1); Sociology and Political Science (Q2)"
355;21101039620;"Archivos de Historia del Movimiento Obrero y la Izquierda";journal;"26839601, 23139749";0,493;Q2;2;20;20;372;10;16;0,50;18,60;Argentina;Latin America;"Centro de Estudios Historicos de los Trabajadores y las Izquierdas";"2020-2021";"History (Q1); Sociology and Political Science (Q2)"
356;24664;"Foreign Affairs";journal;"00157120";0,493;Q2;99;0;194;0;451;186;2,42;0,00;United States;Northern America;"Council on Foreign Relations, Inc.";"1965, 1974, 1977-1981, 1985, 1989, 1991-1992, 1996-2019";"Political Science and International Relations (Q1); Sociology and Political Science (Q2)"
357;22328;"Organizational Dynamics";journal;"00902616";0,493;Q2;68;78;119;0;174;116;1,10;0,00;United Kingdom;Western Europe;"Elsevier BV";"1972-1995, 1997-2021";"Organizational Behavior and Human Resource Management (Q2); Sociology and Political Science (Q2); Applied Psychology (Q3)"
